Redump Game Name (Region Dupes),Dupe 1,Dupe 2,Dupe 3,Dupe 4,Dupe 5,Dupe 6,Notes
Hawk Kawasaki Racing (Europe),Hawk Superbike Racing (Australia),,,,,,
Heavenly Guardian (USA),"Legend of Sayuki (Europe) (En,Fr,Es,It)",,,,,,
Horsez (USA),"Pippa Funnell - Take the Reins (Europe, Australia) (En,Fr,De)","Pippa Funnell - Take the Reins (Europe, Australia) (En,Fr,De,Es,Nl)",,,,,
Hot Shots Golf Fore! (USA),"Everybody's Golf (Europe, Australia) (En,Fr,De,Es,It)",,,,,,
Hot Shots Tennis (USA),"Everybody's Tennis (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)",,,,,,
HSX - HyperSonic.Xtreme (USA),"G-Surfers (Europe) (En,Fr,De)",,,,,,
Ice Age - Dawn of the Dinosaurs (USA),"Ice Age 3 - Dawn of the Dinosaurs (Europe) (En,Fr,De,Es,Nl,Sv)",,,,,,
Indigo Prophecy (USA),"Fahrenheit (Europe) (En,Fr,De,Es)","Fahrenheit (Europe) (En,Fr,De,Es,It)",,,,,
IndyCar Series featuring the Indianapolis 500 (USA),"IndyCar Series (Europe) (En,Fr,De,Es,It)",,,,,,
Intellivision Lives! (USA),Intellivision Lives - The History of Video Gaming (Europe),,,,,,
"Iron Man (USA) (En,Fr,Es)","Iron Man - The Official Videogame (Europe) (En,Fr,De,Es,It)",,,,,,
"Jak II (USA) (En,Ja,Fr,De,Es,It,Ko) (v2.01)","Jak II - Renegade (Europe, Australia) (En,Ja,Fr,De,Es,It,Ko)",,,,,,
"Jak X - Combat Racing (USA) (En,Fr,De,Es,It,Pt,Ru)","Jak X (Europe, Australia) (En,Fr,De,Es,It,Pt,Ru)",,,,,,
K-1 World Grand Prix (USA),K-1 World GP (Europe),,,,,,
Karaoke Revolution (USA),"Karaoke Stage (Europe) (En,Fr,De,Es,It)",,,,,,
"King of Fighters 2002, The - Challenge to Ultimate Battle (USA)","King of Fighters 2002, The (Europe)",,,,,,
